高考招生	学校名称	成立/重组年份	地区	分类	级别	原单位
	军事科学院	1957年	北京	军委直属	副大军区级	
	国防大学	1985年	北京	军委直属	副大军区级	国防大学、南京政治学院、西安政治学院、艺术学院、后勤学院、石家庄陆军指挥学院、武警政治学院，以及装备学院指挥专业、采办专业
1	国防科技大学	1953年	湖南长沙	军委直属	正军级	国防科学技术大学、国际关系学院（南京）、国防信息学院、西安通信学院、电子工程学院，以及解放军理工大学气象海洋学院
	陆军指挥学院	1952年	江苏南京	陆军院校	正军级	南京陆军指挥学院
1	陆军步兵学院	1949年	江西南昌	陆军院校	副军级	解放军南昌陆军学院、石家庄机械化步兵学院
1	陆军防化学院	1950年	北京	陆军院校	副军级	解放军防化学院
1	陆军军医大学（第三军医大学）	1954年	重庆	陆军院校	副军级	解放军第三军医大学、白求恩医务士官学校
1	陆军工程大学	1973年	江苏南京	陆军院校	副军级	解放军理工大学、军械工程学院以及重庆通信学院、工程兵学院、武汉军械士官学校
	陆军航空兵学院	1999年	北京	陆军院校	副军级	解放军陆军军官学院、南京炮兵学院、防空兵学院、沈阳炮兵学院
	陆军边海防学院	2017年	陕西西安	陆军院校	副军级	解放军边防学院、乌鲁木齐民族干部学院、昆明民族干部学院
1	陆军兵种大学	2025年	安徽合肥	陆军院校	副军级	陆军装甲兵学院（解放军装甲兵工程学院、装甲兵学院、装甲兵技术学院）、陆军炮兵防空兵学院
	陆军特种作战学院	1949年	广西桂林	陆军院校	副军级	解放军特种作战学院和桂林综合训练基地
	海军指挥学院	1952年	江苏南京	海军院校	正军级	
1	海军大连舰艇学院	1949年	辽宁大连	海军院校	副军级	
1	海军工程大学	1949年	湖北武汉	海军院校	副军级	
1	海军军医大学（第二军医大学）	1949年	上海	海军院校	副军级	
1	海军航空大学	1950年	山东烟台	海军院校	副军级	海军航空兵学院和海军航空工程学院
1	海军潜艇学院	1973年	山东青岛	海军院校	副军级	
	海军勤务学院	1952年	天津	海军院校	正师级	海军后勤学院
	海军士官学校	1986年	安徽蚌埠	海军院校	正师级	海军蚌埠士官学院
	空军指挥学院	1958年	北京	空军院校	正军级	
	空军西安飞行学院	1949年	陕西西安	空军院校	副军级	
	空军哈尔滨飞行学院	1949年	黑龙江哈尔滨	空军院校	副军级	
	空军石家庄飞行学院	1949年	河北石家庄	空军院校	副军级	
1	空军军医大学（第四军医大学）	1952年	陕西西安	空军院校	副军级	
1	空军工程大学	1959年	陕西西安	空军院校	副军级	
1	空军航空大学	1978年	吉林长春	空军院校	副军级	
1	空军预警学院	1952年	湖北武汉	空军院校	副军级	
	空军勤务学院	1954年	江苏徐州	空军院校	正师级	
	空军通信士官学校	1986年	辽宁大连	空军院校	正师级	空军大连通信士官学校
	火箭军指挥学院	1977年	湖北武汉	火箭军院校	正军级	
1	火箭军工程大学	1951年	陕西西安	火箭军院校	副军级	
	火箭军士官学校	1971年	山东潍坊	火箭军院校	正师级	火箭军青州士官学院
1	军事航天部队航天工程大学	2017年	北京	军事航天部队院校	副军级	战略支援部队航天工程大学
1	网络空间部队信息工程大学	2017年	河南郑州	网络空间部队院校	副军级	战略支援部队信息工程大学（解放军外国语学院、解放军信息工程学院、解放军测绘学院、解放军电子技术学院）
1	联勤保障部队工程大学	2025年	重庆	联勤保障部队院校	副军级	陆军勤务学院（解放军后勤工程学院、军事经济学院）、陆军军事交通学院本部及所属汽车士官学校
1	信息支援部队工程大学	2025年	湖北武汉	信息支援部队院校	副军级	国防科技大学信息通信学院、陆军工程大学通信士官学校
	武警指挥学院	1980年	天津	武警部队院校	正军级	
	武警特种警察学院	1982年	北京	武警部队院校	副军级	
1	武警工程大学	1983年	陕西西安	武警部队院校	副军级	
	武警海警学院	1983年	浙江宁波	武警部队院校	副军级	
1	武警警官学院	1984年	四川成都	武警部队院校	副军级	武警警官学院（武警成都指挥学院更名）、武警福州指挥学院
	武警后勤学院	1980年	天津	武警部队院校	正师级	
	武警士官学校	1984年	浙江杭州	武警部队院校	正师级	武警杭州士官学校和武警石家庄士官学校
